t,D_output
9179,0.6777337606244342
9180,0.6648774508085342
9181,0.652043696581084
9182,0.6392334283805602
9183,0.6264474873414119
9184,0.6136866279108186
9185,0.6009515204459414
9186,0.5882427537957553
9187,0.575560837856082
9188,0.5629062060908431
9189,0.5502792180301914
9190,0.5376801617349865
9191,0.5251092562171831
9192,0.5125666538253815
9193,0.5000524425980473
9194,0.48756664856528387
9195,0.47510923800400223
9196,0.46268011966500266
9197,0.4502791469438452
9198,0.4379061199992631
9199,0.42556078784189916
9200,0.41324285036915054
9201,0.4009519603431247
9202,0.3886877253389211
9203,0.3764497096453911
9204,0.36423743611476544
9205,0.35205038794007876
9206,0.33988801043665856
9207,0.32774971276012194
9208,0.31563486957461145
9209,0.3035428226625094
9210,0.29147288253380793
9211,0.2794243299731798
9212,0.2673964175446625
9213,0.25538837104490825
9214,0.24339939095978386
9215,0.2314286538596629
9216,0.2194753137595016
9217,0.2075385034414576
9218,0.19561733577303897
9219,0.1837109049758515
9220,0.17181828786358344
9221,0.15993854505601746
9222,0.14807072218355957
9223,0.13621385105453
9224,0.12436695079732348
9225,0.11252902899006399
9226,0.10069908277741273
9227,0.08887609996333576
9228,0.0770590600845233
9229,0.06524693548049965
9230,0.05343869235166772
9231,0.041633291804245166
9232,0.029829690883593947
9233,0.018026843610300974
9234,0.006223702008820304
9235,-0.005580782867818691
9236,-0.017387659917762227
9237,-0.029197976959233058
9238,-0.041012779701904034
9239,-0.05283311071314663
9240,-0.0646600083844906
9241,-0.0764945058848006
9242,-0.08833763009543807
9243,-0.10019040054405765
9244,-0.11205382832259275
9245,-0.12392891499533598
9246,-0.13581665147888564
9247,-0.14771801691016664
9248,-0.15963397749361807
9249,-0.17156548533050886
9250,-0.1835134772216266
9251,-0.19547887343880396
9252,-0.20746257647669789
9253,-0.21946546977477746
9254,-0.23148841641569443
9255,-0.24353225777829923
9256,-0.2555978121655122
9257,-0.2676858733967563
9258,-0.27979720937122476
9259,-0.2919325605889393
9260,-0.30409263862356706
9261,-0.31627812456647575
9262,-0.32848966742794605
9263,-0.3407278825102119
9264,-0.35299334970748925
9265,-0.36528661177831445
9266,-0.3776081725715025
9267,-0.3899584952198779
9268,-0.40233800027776484
9269,-0.41474706379076126
9270,-0.42718601534170475
9271,-0.4396551360446168
9272,-0.4521546565197902
9273,-0.4646847547608229
9274,-0.47724555398721447
9275,-0.4898371204475489
9276,-0.5024594612002697
9277,-0.5151125218325081
9278,-0.5277961840938851
9279,-0.5405102635315162
9280,-0.5532545070745444
9281,-0.5660285906279492
9282,-0.5788321165257665
9283,-0.5916646110046884
9284,-0.6045255216411923
9285,-0.6174142147950832
9286,-0.6303299730033562
9287,-0.6432719922859528
9288,-0.656239379503761
9289,-0.6692311496875089
9290,-0.6822462234267364
