Distance,Speed,Throttle,Brake
1165.0624999999995,222,84,False
1170.6741666666662,222,85,False
1177.4261111111105,223,86,False
1180.6136111111107,225,87,False
1192.5311111111107,227,88,False
1206.011666666666,230,85,False
1220.833055555555,233,82,False
1225.4677777777772,235,85,False
1239.226944444444,237,89,False
1246.534444444444,237,93,False
1252.4183333333328,238,97,False
1267.8155555555552,241,98,False
1273.9833333333331,244,100,False
1281.4013888888885,245,100,False
1287.619722222222,246,100,False
1301.4530555555552,249,100,False
1311.8002777777774,250,100,False
1312.5672222222217,251,100,False
1326.511666666666,251,100,False
1338.3886111111105,253,100,False
1340.584444444444,255,100,False
1346.9133333333327,256,100,False
1354.8683333333329,258,100,False
1361.2961111111106,260,100,False
1378.1077777777773,262,100,False
1386.0708333333328,263,100,False
1401.6027777777774,265,100,False
1412.6536111111106,267,100,False
1416.464444444444,269,100,False
1430.586944444444,269,100,False
1437.411944444444,270,100,False
1448.6697222222217,272,99,False
1455.5958333333328,274,99,False
1465.4499999999996,275,99,False
1470.8933333333327,276,99,False
1483.2044444444439,277,99,False
1490.0524999999996,277,99,False
1496.2302777777772,278,99,False
1501.7327777777773,279,99,False
1520.4661111111104,281,99,False
1521.1711111111103,282,99,False
1533.0413888888882,283,99,False
1535.3211111111104,283,99,False
1551.9666666666658,284,99,False
1555.8322222222216,284,99,False
1567.7863888888883,285,99,False
1580.3297222222216,284,99,False
1584.296388888888,280,51,False
1595.7611111111103,277,4,True
1603.9319444444436,265,4,True
1612.997777777777,253,5,True
1617.73111111111,240,4,True
1627.819999999999,227,4,True
1639.708888888888,214,4,True
1642.4583333333323,202,4,True
1652.4858333333325,189,4,True
1660.7480555555546,176,4,True
1671.5922222222212,169,4,True
1675.5972222222213,162,5,True
1678.7133333333322,158,5,True
1685.9427777777767,154,5,True
1689.7597222222212,151,5,True
1695.5541666666654,149,5,True
1695.9216666666655,147,5,True
1708.4049999999988,140,16,False
1709.5166666666655,138,34,False
1719.06861111111,137,52,False
1719.41111111111,137,53,False
1727.8444444444433,138,54,False
1729.8136111111098,139,55,False
1739.21361111111,141,58,False
1744.301944444443,142,60,False
1748.7111111111099,143,62,False
1754.7124999999987,145,63,False
1761.7424999999987,148,65,False
1770.450833333332,150,67,False
1771.768333333332,153,69,False
1779.0916666666653,156,71,False
1783.9941666666653,159,74,False
1793.1052777777763,164,81,False
1793.5177777777762,165,82,False
1804.2336111111097,167,83,False
1808.4858333333318,172,83,False
1817.3358333333317,177,84,False
1823.9586111111096,182,85,False
1828.5322222222208,185,90,False
1840.0822222222207,189,95,False
1847.1052777777763,193,100,False
1850.8811111111097,197,100,False
1860.9311111111097,201,100,False
1864.9938888888876,206,100,False
1873.5613888888877,207,100,False
1881.6891666666652,209,100,False
1883.5061111111097,211,100,False
1892.8838888888874,211,100,False
1904.4949999999985,220,100,False
1920.3341666666654,229,100,False
1921.0399999999986,231,100,False
1935.2788888888874,233,100,False
1941.113333333332,236,100,False
1944.4991666666654,239,100,False
1959.8930555555542,242,100,False
1967.3855555555542,243,99,False
1983.7188888888877,245,99,False
1987.080833333332,247,99,False
1995.959722222221,244,73,False
2008.612222222221,241,48,True
2016.9816666666654,230,25,True
2021.1791666666654,219,3,True
2037.6236111111098,185,3,True
2042.0236111111099,176,2,True
2047.156944444443,168,2,True
2050.1902777777764,156,1,True
2066.1902777777764,144,1,True
2078.656944444443,132,0,True
2081.02361111111,120,0,True
2084.56611111111,117,0,True
2088.750833333332,115,0,True
2090.8974999999987,112,0,True
2096.3474999999985,109,0,True
2100.835555555554,107,0,True
2103.984444444443,104,1,True
2110.217777777776,102,3,True
2111.078888888887,100,5,False
2115.4344444444423,98,27,False
2116.223888888887,98,32,False
2120.926388888887,99,37,False
2122.8430555555533,100,40,False
2129.0152777777753,101,44,False
2129.8936111111084,102,48,False
2134.5158333333306,104,53,False
2141.1949999999974,105,56,False
2141.521944444442,107,60,False
2146.7327777777755,111,63,False
2154.399444444442,115,66,False
2155.4327777777753,120,69,False
2162.6897222222196,125,74,False
2166.698055555553,130,80,False
2168.5491666666644,136,82,False
2176.1361111111087,143,85,False
2176.501111111109,146,90,False
2183.9511111111087,149,95,False
2186.104444444442,152,100,False
2193.2599999999975,161,100,False
2196.487777777775,166,100,False
2204.5152777777753,171,100,False
2207.966666666664,175,100,False
2214.416666666664,180,100,False
2225.318333333331,186,99,False
2226.8649999999975,192,99,False
2240.1316666666644,199,100,False
2249.28722222222,206,100,False
2249.9227777777755,208,100,False
2261.5894444444425,210,100,False
2265.6527777777756,212,100,False
2274.6708333333313,215,100,False
2275.2158333333314,218,100,False
2289.3324999999977,220,100,False
2301.665833333331,222,100,False
2302.228333333331,225,100,False
2309.2255555555535,229,100,False
2319.581111111109,233,100,False
2328.2416666666645,238,100,False
2338.174999999998,240,100,False
2347.017499999998,243,100,False
2362.665833333331,246,99,False
2363.426666666665,249,99,False
2377.940555555554,250,99,False
2380.110555555554,252,100,False
2397.1772222222203,256,99,False
2402.1222222222204,258,99,False
2423.1388888888873,260,99,False
2429.566666666665,260,72,False
2434.6944444444425,260,45,True
2440.874999999998,250,24,True
2459.0169444444427,241,4,True
2465.6174999999985,218,4,True
2474.9274999999984,196,4,True
2478.5116666666654,187,4,True
2483.0363888888874,179,5,True
2491.251666666665,175,5,True
2499.8016666666654,171,6,True
2500.3149999999987,168,7,True
2513.9624999999987,159,7,True
2517.779444444443,151,7,True
2525.834999999998,145,16,True
2530.1949999999983,144,28,True
2535.3986111111094,143,40,False
2540.4869444444425,142,44,False
2549.5344444444427,141,48,False
2552.236944444443,141,52,False
2555.8263888888873,142,57,False
2563.3736111111093,143,63,False
2568.6097222222206,145,69,False
2569.8430555555537,148,73,False
2579.070833333332,151,78,False
2583.7638888888873,155,83,False
2590.4330555555543,159,86,False
2597.721944444443,164,90,False
2603.7777777777765,169,94,False
2606.214444444443,172,96,False
2616.9088888888878,175,98,False
2617.3563888888875,179,100,False
2629.556388888888,183,100,False
2630.1308333333322,188,100,False
2646.6966666666654,193,100,False
2651.6763888888877,197,100,False
2657.792499999999,202,100,False
2664.056388888888,205,100,False
2669.2563888888876,208,100,False
2674.5313888888877,211,100,False
2687.6702777777764,215,100,False
2690.7727777777764,219,100,False
2701.194444444443,222,100,False
2710.6738888888876,226,100,False
